,Tempo,RTT
0,2021-10-01 00:00:00,16.7
1,2021-10-01 00:10:00,16.6
2,2021-10-01 00:20:00,16.6
3,2021-10-01 00:30:00,27.7
4,2021-10-01 00:40:00,27.2
5,2021-10-01 00:50:00,17.4
6,2021-10-01 01:00:00,16.6
7,2021-10-01 01:10:00,16.7
8,2021-10-01 01:20:00,16.6
9,2021-10-01 01:30:00,16.6
10,2021-10-01 01:40:00,17.3
11,2021-10-01 01:50:00,17.4
12,2021-10-01 02:00:00,27.7
13,2021-10-01 02:10:00,16.5
14,2021-10-01 02:20:00,16.7
15,2021-10-01 02:30:00,16.7
16,2021-10-01 02:40:00,16.6
17,2021-10-01 02:50:00,17.4
18,2021-10-01 03:00:00,17.3
19,2021-10-01 03:10:00,16.6
20,2021-10-01 03:20:00,27.3
21,2021-10-01 03:30:00,27.2
22,2021-10-01 03:40:00,17.4
23,2021-10-01 03:50:00,17.5
24,2021-10-01 04:00:00,16.6
25,2021-10-01 04:10:00,16.6
26,2021-10-01 04:20:00,27.599999999999998
27,2021-10-01 04:30:00,27.3
28,2021-10-01 04:40:00,17.4
29,2021-10-01 04:50:00,16.6
30,2021-10-01 05:00:00,16.5
31,2021-10-01 05:10:00,17.4
32,2021-10-01 05:20:00,17.4
33,2021-10-01 05:30:00,16.7
34,2021-10-01 05:40:00,17.4
35,2021-10-01 05:50:00,17.4
36,2021-10-01 06:00:00,16.6
37,2021-10-01 06:10:00,16.6
38,2021-10-01 06:20:00,16.6
39,2021-10-01 06:30:00,27.2
40,2021-10-01 06:40:00,16.7
41,2021-10-01 06:50:00,17.4
42,2021-10-01 07:00:00,17.3
43,2021-10-01 07:10:00,27.599999999999998
44,2021-10-01 07:20:00,27.599999999999998
45,2021-10-01 07:30:00,17.3
46,2021-10-01 07:40:00,17.3
47,2021-10-01 07:50:00,17.3
48,2021-10-01 08:00:00,16.6
49,2021-10-01 08:10:00,16.6
50,2021-10-01 08:20:00,16.6
51,2021-10-01 08:30:00,17.4
52,2021-10-01 08:40:00,17.3
53,2021-10-01 08:50:00,17.3
54,2021-10-01 09:00:00,16.6
55,2021-10-01 09:10:00,16.6
56,2021-10-01 09:20:00,16.6
57,2021-10-01 09:30:00,16.6
58,2021-10-01 09:40:00,17.3
59,2021-10-01 09:50:00,17.3
60,2021-10-01 10:00:00,17.3
61,2021-10-01 10:10:00,17.3
62,2021-10-01 10:20:00,17.3
63,2021-10-01 10:30:00,17.3
64,2021-10-01 10:40:00,27.2
65,2021-10-01 10:50:00,17.3
66,2021-10-01 11:00:00,17.4
67,2021-10-01 11:10:00,27.3
68,2021-10-01 11:20:00,16.6
69,2021-10-01 11:30:00,17.4
70,2021-10-01 11:40:00,17.3
71,2021-10-01 11:50:00,17.3
72,2021-10-01 12:00:00,17.3
73,2021-10-01 12:10:00,17.4
74,2021-10-01 12:20:00,17.3
75,2021-10-01 12:30:00,17.4
76,2021-10-01 12:40:00,17.4
77,2021-10-01 12:50:00,17.5
78,2021-10-01 13:00:00,16.5
79,2021-10-01 13:10:00,27.599999999999998
80,2021-10-01 13:20:00,16.5
81,2021-10-01 13:30:00,27.599999999999998
82,2021-10-01 13:40:00,16.5
83,2021-10-01 13:50:00,16.6
84,2021-10-01 14:00:00,27.2
85,2021-10-01 14:10:00,17.4
86,2021-10-01 14:20:00,17.3
87,2021-10-01 14:30:00,17.4
88,2021-10-01 14:40:00,17.4
89,2021-10-01 14:50:00,17.4
90,2021-10-01 15:00:00,17.3
91,2021-10-01 15:10:00,17.3
92,2021-10-01 15:20:00,17.4
93,2021-10-01 15:30:00,17.3
94,2021-10-01 15:40:00,16.7
95,2021-10-01 15:50:00,16.6
96,2021-10-01 16:00:00,17.4
97,2021-10-01 16:10:00,16.6
98,2021-10-01 16:20:00,27.2
99,2021-10-01 16:30:00,16.5
100,2021-10-01 16:40:00,16.5
101,2021-10-01 16:50:00,16.6
102,2021-10-01 17:00:00,16.6
103,2021-10-01 17:10:00,16.6
104,2021-10-01 17:20:00,17.4
105,2021-10-01 17:30:00,27.2
106,2021-10-01 17:40:00,16.6
107,2021-10-01 17:50:00,16.5
108,2021-10-01 18:00:00,16.7
109,2021-10-01 18:10:00,17.3
110,2021-10-01 18:20:00,17.4
111,2021-10-01 18:30:00,16.6
112,2021-10-01 18:40:00,17.3
113,2021-10-01 18:50:00,27.2
114,2021-10-01 19:00:00,16.6
115,2021-10-01 19:10:00,16.6
116,2021-10-01 19:20:00,17.3
117,2021-10-01 19:30:00,16.6
118,2021-10-01 19:40:00,17.3
119,2021-10-01 19:50:00,17.4
120,2021-10-01 20:00:00,16.6
121,2021-10-01 20:10:00,16.6
122,2021-10-01 20:20:00,17.4
123,2021-10-01 20:30:00,17.5
124,2021-10-01 20:40:00,27.3
125,2021-10-01 20:50:00,17.4
126,2021-10-01 21:00:00,16.6
127,2021-10-01 21:10:00,16.6
128,2021-10-01 21:20:00,16.6
129,2021-10-01 21:30:00,17.4
130,2021-10-01 21:40:00,17.4
131,2021-10-01 21:50:00,27.3
132,2021-10-01 22:00:00,16.6
133,2021-10-01 22:10:00,17.3
134,2021-10-01 22:20:00,18.0
135,2021-10-01 22:30:00,16.6
136,2021-10-01 22:40:00,16.6
137,2021-10-01 22:50:00,16.7
138,2021-10-01 23:00:00,17.4
139,2021-10-01 23:10:00,16.6
140,2021-10-01 23:20:00,16.6
141,2021-10-01 23:30:00,27.2
142,2021-10-01 23:40:00,17.4
143,2021-10-01 23:50:00,17.3
144,2021-10-02 00:00:00,17.3
145,2021-10-02 00:10:00,17.3
146,2021-10-02 00:20:00,16.6
147,2021-10-02 00:30:00,17.4
148,2021-10-02 00:40:00,16.6
149,2021-10-02 00:50:00,16.6
150,2021-10-02 01:00:00,17.3
151,2021-10-02 01:10:00,27.2
152,2021-10-02 01:20:00,16.6
153,2021-10-02 01:30:00,16.5
154,2021-10-02 01:40:00,16.7
155,2021-10-02 01:50:00,16.6
156,2021-10-02 02:00:00,16.6
157,2021-10-02 02:10:00,27.2
158,2021-10-02 02:20:00,27.7
159,2021-10-02 02:30:00,16.7
160,2021-10-02 02:40:00,27.7
161,2021-10-02 02:50:00,27.599999999999998
162,2021-10-02 03:00:00,17.4
163,2021-10-02 03:10:00,16.6
164,2021-10-02 03:20:00,16.6
165,2021-10-02 03:30:00,17.3
166,2021-10-02 03:40:00,17.3
167,2021-10-02 03:50:00,17.3
168,2021-10-02 04:00:00,17.4
169,2021-10-02 04:10:00,17.4
170,2021-10-02 04:20:00,16.6
171,2021-10-02 04:30:00,16.7
172,2021-10-02 04:40:00,16.6
173,2021-10-02 04:50:00,17.4
174,2021-10-02 05:00:00,17.4
175,2021-10-02 05:10:00,16.6
176,2021-10-02 05:20:00,16.6
177,2021-10-02 05:30:00,17.9
178,2021-10-02 05:40:00,17.5
179,2021-10-02 05:50:00,17.4
180,2021-10-02 06:00:00,16.6
181,2021-10-02 06:10:00,17.4
182,2021-10-02 06:20:00,16.6
183,2021-10-02 06:30:00,16.7
184,2021-10-02 06:40:00,27.3
185,2021-10-02 06:50:00,17.4
186,2021-10-02 07:00:00,17.4
187,2021-10-02 07:10:00,17.4
188,2021-10-02 07:20:00,16.5
189,2021-10-02 07:30:00,17.4
190,2021-10-02 07:40:00,17.4
191,2021-10-02 07:50:00,27.2
192,2021-10-02 08:00:00,27.2
193,2021-10-02 08:10:00,17.4
194,2021-10-02 08:20:00,17.3
195,2021-10-02 08:30:00,17.4
196,2021-10-02 08:40:00,27.2
197,2021-10-02 08:50:00,27.3
198,2021-10-02 09:00:00,16.6
199,2021-10-02 09:10:00,16.7
200,2021-10-02 09:20:00,16.5
201,2021-10-02 09:30:00,16.6
202,2021-10-02 09:40:00,16.6
203,2021-10-02 09:50:00,16.6
204,2021-10-02 10:00:00,16.6
205,2021-10-02 10:10:00,16.7
206,2021-10-02 10:20:00,16.6
207,2021-10-02 10:30:00,16.6
208,2021-10-02 10:40:00,16.5
209,2021-10-02 10:50:00,16.6
210,2021-10-02 11:00:00,16.6
211,2021-10-02 11:10:00,16.6
212,2021-10-02 11:20:00,16.6
213,2021-10-02 11:30:00,27.2
214,2021-10-02 11:40:00,27.2
215,2021-10-02 11:50:00,22.3
216,2021-10-02 12:00:00,16.6
217,2021-10-02 12:10:00,17.4
218,2021-10-02 12:20:00,17.3
219,2021-10-02 12:30:00,17.3
220,2021-10-02 12:40:00,16.6
221,2021-10-02 12:50:00,16.6
222,2021-10-02 13:00:00,17.3
223,2021-10-02 13:10:00,17.4
224,2021-10-02 13:20:00,27.2
225,2021-10-02 13:30:00,16.6
226,2021-10-02 13:40:00,16.6
227,2021-10-02 13:50:00,17.3
228,2021-10-02 14:00:00,16.6
229,2021-10-02 14:10:00,17.8
230,2021-10-02 14:20:00,17.7
231,2021-10-02 14:30:00,27.599999999999998
232,2021-10-02 14:40:00,17.9
233,2021-10-02 14:50:00,17.8
234,2021-10-02 15:00:00,17.9
235,2021-10-02 15:10:00,17.8
236,2021-10-02 15:20:00,18.0
237,2021-10-02 15:30:00,17.9
238,2021-10-02 15:40:00,17.8
239,2021-10-02 15:50:00,17.9
240,2021-10-02 16:00:00,27.2
241,2021-10-02 16:10:00,17.9
242,2021-10-02 16:20:00,17.8
243,2021-10-02 16:30:00,17.8
244,2021-10-02 16:40:00,17.9
245,2021-10-02 16:50:00,27.2
246,2021-10-02 17:00:00,27.2
247,2021-10-02 17:10:00,27.2
248,2021-10-02 17:20:00,17.9
249,2021-10-02 17:30:00,17.9
250,2021-10-02 17:40:00,17.8
251,2021-10-02 17:50:00,17.8
252,2021-10-02 18:00:00,17.9
253,2021-10-02 18:10:00,17.8
254,2021-10-02 18:20:00,17.8
255,2021-10-02 18:30:00,17.8
256,2021-10-02 18:40:00,17.8
257,2021-10-02 18:50:00,17.8
258,2021-10-02 19:00:00,17.8
259,2021-10-02 19:10:00,17.9
